,agg_mean,agg_volatility,pol_mean,post_count,agg_lag_2,agg_3m_avg,agg_trend,Actual_Toxic,Predicted_Toxic,Risk_Score,author_name,created_time
22874,0.7392694507038831,0.35796916796805545,0.815028652089981,14,0.6706880690869484,0.7663577234386145,0.06858138161693461,1,1,0.8661922678865076,Troll_in_the_Knoll,2025-07-31
23194,0.7910727618336152,0.4111170486609554,0.8091318269188426,10,0.8685168536300311,0.7717453079927991,-0.07744409179641587,1,1,0.860255330983645,User4C4C4C,2025-08-31
24849,0.7473004259269411,0.38160139500495555,0.7633662619192746,7,0.9138348435102166,0.8019241635023446,-0.16653441758327547,1,1,0.8665126752099223,adorablefuzzykitten,2025-07-31
24850,0.7166658903763539,0.3530935885879862,0.7047458339436173,14,0.7473004259269411,0.7926003866045038,-0.03063453555058726,1,1,0.8519813420040822,adorablefuzzykitten,2025-08-31
25860,0.8180194543717144,0.3366483882681254,0.7186029507088686,9,0.8310883908382029,0.7640106692013228,-0.013068936466488434,1,1,0.8725097187022313,bassplayerguy,2025-07-31
25959,0.7680087839142056,0.3531463756338007,0.7149743360152738,9,0.9808219914386735,0.7771451702324965,-0.21281320752446797,1,1,0.8628051120998279,beavis617,2025-07-31
26000,0.8017194359786547,0.29737602189175155,0.9122786864209986,9,0.9905383993380966,0.7607660963823305,-0.18881896335944193,1,1,0.8785532291608547,belisario262,2025-07-31
26730,0.7547738936855608,0.3488408405683307,0.7512758889386311,18,0.7359472141400442,0.7826782147797124,0.018826679545516645,1,1,0.866607705875549,capaho,2025-06-30
26731,0.8651935564956168,0.2135769925579869,0.7382987574220112,13,0.7547738936855608,0.785304888107074,0.110419662810056,1,1,0.8675709527651818,capaho,2025-07-31
27457,0.8757279723382654,0.23362569778896317,0.8785238720482821,17,0.79406689670256,0.8237534844434656,0.08166107563570535,1,1,0.8913218160817857,crazybones,2025-05-31
27458,0.7024923953885479,0.3828080732885516,0.7599061294330868,15,0.8757279723382654,0.7907624214764578,-0.17323557694971747,1,1,0.868780022660167,crazybones,2025-06-30
27459,0.7484066988101192,0.3790604823069232,0.6217982701032487,16,0.7024923953885479,0.7755423555123109,0.04591430342157132,0,1,0.8511818570393931,crazybones,2025-07-31
29750,0.8753240107267138,0.15963486457401616,0.8511147992127742,15,0.730619761428377,0.7722452973231749,0.1447042492983368,1,1,0.8859228638853159,gizajobicandothat,2025-07-31
29751,0.8074261873877292,0.33111920049026156,0.8434147053069685,20,0.8753240107267138,0.8044566531809401,-0.06789782333898464,1,1,0.8903705967770127,gizajobicandothat,2025-08-31
30299,0.9640129436938757,0.08824556572921083,0.8822257812179694,12,0.8433055518767679,0.7790059736517065,0.12070739181710777,0,1,0.8751772763572743,heismanwinner82,2025-07-31
30896,0.8963332992884641,0.16109344079752888,0.865597425176231,11,0.7658072200854824,0.8748043018081577,0.13052607920298165,1,1,0.8672550495976951,inthekeyofc,2025-07-31
30897,0.7454304396679835,0.4028584817223944,0.6847584275974681,7,0.8963332992884641,0.8025236530139767,-0.15090285962048056,0,1,0.8530027891330775,inthekeyofc,2025-08-31
31106,0.7789880693097263,0.17645414890016475,0.7815657737181637,10,0.7184001887570659,0.8171505528163389,0.0605878805526604,0,1,0.8655699356499243,janzeera,2025-05-31
31685,0.8324781985487939,0.3169617671561887,0.746476015961865,11,0.9007529253620434,0.8817079465144401,-0.06827472681324953,1,1,0.8796655959073502,jwr1111,2025-08-31
31758,0.814809146025711,0.33592736072214446,0.8394273540319724,13,0.9332450577128707,0.7884435477763683,-0.11843591168715972,1,1,0.8843452506386942,kathryn2a,2025-06-30
31759,0.8863953354138037,0.20591807136599197,0.7971988438533538,13,0.814809146025711,0.8781498463841283,0.07158618938809269,1,1,0.8933499895866446,kathryn2a,2025-07-31
31760,0.9066884580625268,0.18549417421431125,0.9344195737530865,18,0.8863953354138037,0.8692976465006805,0.020293122648723183,1,1,0.9080261866963345,kathryn2a,2025-08-31
32578,0.8432520151867381,0.2760274191818297,0.7880531788599298,34,0.6927726493874116,0.7863802303027505,0.15047936579932653,1,1,0.8976706213386849,ltcraft05,2025-07-31
32781,0.7574664171834371,0.40640449389653527,0.8641256973096536,9,0.7530746937885858,0.7967979593744356,0.004391723394851277,1,1,0.855534148493675,masstransience,2025-06-30
32783,0.9400091932840959,0.11595870068999366,0.936682982916562,10,0.7645122686726286,0.8206626263800539,0.17549692461146738,1,1,0.8839530076357484,masstransience,2025-08-31
33144,0.8607075799563556,0.25843266150014915,0.8390876735259071,22,0.7376475650286232,0.7678326425907516,0.12306001492773244,1,1,0.8784555796004109,mishma2005,2025-08-31
33363,0.8327214925304286,0.24615328096310185,0.7067659932645239,10,0.7105017581137713,0.8458867760145656,0.12221973441665734,1,1,0.863251065439226,morbob,2025-05-31
33710,0.7637717269939763,0.3659922240609074,0.8817789896490991,7,0.9859867185424104,0.9155135769798646,-0.22221499154843405,0,1,0.85268888126219,myveryowname1234,2025-07-31
34022,0.825635304320702,0.2997284939032696,0.6759506240555028,15,0.8720453275436858,0.8791223012778527,-0.04641002322298382,1,1,0.889886931105953,njman100,2025-05-31
34024,0.9110761031760275,0.21542020710458876,0.802671885190365,28,0.6799040691275398,0.8055384922080897,0.23117203404848774,1,1,0.904458795192386,njman100,2025-07-31
34025,0.8168430866407386,0.3314144396694478,0.7330981076738431,17,0.9110761031760275,0.8026077529814352,-0.09423301653528893,1,1,0.8856588631013469,njman100,2025-08-31
34622,0.7821445105941355,0.36617962329109965,0.7708081847647411,25,0.8302787099551384,0.8096072673352231,-0.04813419936100294,1,1,0.8925825559284148,orcinyadders,2025-07-31
34866,0.7880148823131929,0.2593593373780963,0.7650781986130235,25,0.8129560047445967,0.7858086863847852,-0.024941122431403784,1,1,0.8959134915527192,phosdick,2025-08-31
37390,0.7939567719843017,0.28615049408450693,0.6076435133421751,20,0.968704388889318,0.7586567452292893,-0.17474761690501628,1,1,0.8688749519364793,supercali45,2025-06-30
37391,0.7127608155819092,0.363590934320778,0.6692930478643687,27,0.7939567719843017,0.8251406588185096,-0.08119595640239252,1,1,0.867576729572391,supercali45,2025-07-31
37585,0.7506216048515109,0.3318955376900446,0.8113737911066579,17,0.8435806017938315,0.7524396102187852,-0.09295899694232068,1,1,0.857633658393586,tcoh1s,2025-08-31
38075,0.8161914741249462,0.34937496542284663,0.851339502945802,7,0.8475860204219039,0.756057545740194,-0.031394546296957704,0,1,0.8528177086331639,thomport,2025-07-31
38188,0.7710865581698307,0.28851180492812034,0.6057388173777183,8,0.93568094058688,0.8070080693032683,-0.16459438241704927,1,1,0.8625952948797716,time_drifter,2025-05-31
38338,0.8153357999545483,0.3606691468968924,0.7992484678272957,18,0.7992108266134436,0.8079135450991212,0.016124973341104742,1,1,0.8882336831025256,tracyinge,2025-07-31
38627,0.7701910667193397,0.2594249684494618,0.7283972887089947,9,0.9790315823640262,0.8712526491804128,-0.20884051564468653,0,1,0.8538896673687897,un_theist,2025-08-31
39061,0.7933851754324012,0.3657969594938347,0.9075550012913588,10,0.6907139970769652,0.7966046231095504,0.10267117835543593,0,1,0.8590937816456784,we_are_sex_bobomb,2025-06-30
39521,0.8544122112823501,0.20070679114862855,0.8912445421060746,11,0.8388270316636417,0.8114590459954103,0.015585179618708422,1,1,0.8928600646686569,yorapissa,2025-07-31
39522,0.7604386423910997,0.2996021289789501,0.8180971744677679,14,0.8544122112823501,0.8178926284456972,-0.09397356889125041,1,1,0.8844190154491607,yorapissa,2025-08-31
